date,season,neutral,playoff,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,carm-elo1_pre,carm-elo2_pre,carm-elo_prob1,carm-elo_prob2,carm-elo1_post,carm-elo2_post,raptor1_pre,raptor2_pre,raptor_prob1,raptor_prob2,score1,score2,quality,importance,total_rating
2021-10-19,2022,0,,MIL,BRK,1657.7498895549,1605.05373238011,0.7066128262873809,0.29338717371261913,1667.19778198462,1595.60583995039,,,,,,,1659.74362964118,1613.93491333949,0.7007833607380043,0.2992166392619957,127,104,92,14,53
2021-10-19,2022,0,,LAL,GSW,1549.25885123597,1529.01090831809,0.6664567717577439,0.33354322824225613,1536.85182817036,1541.4179313837,,,,,,,1510.58452152494,1530.40761534429,0.608487739674789,0.391512260325211,114,121,59,54,57
2021-10-20,2022,0,,DET,CHI,1380.82586113258,1495.43059346113,0.4789944715158644,0.5210055284841356,1373.5035454059,1502.75290918781,,,,,,,1369.7773834623,1512.20959180923,0.4425425323839507,0.5574574676160493,88,94,26,19,23
2021-10-20,2022,0,,CHO,IND,1438.33379178776,1487.41983273489,0.5727510543248978,0.4272489456751022,1441.65242430493,1484.10120021772,,,,,,,1457.19636989802,1532.96726830845,0.536682027131027,0.463317972868973,123,122,48,51,50
2021-10-20,2022,0,,NYK,BOS,1547.75349161121,1499.79256130369,0.7009302549442507,0.29906974505574935,1551.13596683177,1496.41008608313,,,,,,,1551.38883175924,1594.16947763311,0.5727107877327463,0.4272892122672537,138,134,78,46,62
2021-10-20,2022,0,,TOR,WAS,1449.34814651774,1494.78585424116,0.5778822444979183,0.42211775550208175,1433.07733742026,1511.05666333864,,,,,,,1461.24786886144,1525.86151721642,0.5460168316532082,0.45398316834679175,83,98,48,66,57
2021-10-20,2022,0,,MIN,HOU,1439.44627857259,1346.47427961945,0.7522849572621622,0.24771504273783784,1445.98282962913,1339.93772856291,,,,,,,1500.22630828978,1317.58945823306,0.8406498074168867,0.15935019258311334,124,106,16,8,12
2021-10-20,2022,0,,NOP,PHI,1482.17983497714,1609.0716344241,0.4613766881806297,0.5386233118193703,1467.38321351302,1623.86825588822,,,,,,,1529.56647023439,1654.18622449911,0.4629874675678087,0.5370125324321913,97,117,83,18,51
2021-10-20,2022,0,,MEM,CLE,1540.7543802578,1352.69678291175,0.8399952619841221,0.1600047380158779,1543.61817190205,1349.8329912675,,,,,,,1551.40218610915,1371.14393178015,0.8324562336903275,0.1675437663096725,132,121,32,9,21
2021-10-20,2022,0,,SAS,ORL,1477.61718292126,1330.46735660274,0.8057627140394577,0.19423728596054235,1484.01253532525,1324.07200419875,,,,,,,1489.70224298584,1314.06322706661,0.8336032117362522,0.16639678826374782,123,97,14,5,10
2021-10-20,2022,0,,UTA,OKC,1615.06437034883,1309.05502045917,0.9119096312684696,0.08809036873153042,1617.31816000849,1306.80123079951,,,,,,,1641.6166885879,1297.21259192797,0.9407331934978465,0.059266806502153546,107,86,30,0,15
2021-10-20,2022,0,,POR,SAC,1581.01560660192,1454.31861750003,0.7866707023715386,0.21332929762846142,1570.27105069804,1465.06317340391,,,,,,,1619.91259552038,1453.11895145698,0.819449861466313,0.18055013853368695,121,124,64,14,39
2021-10-20,2022,0,,PHO,DEN,1650.23158029877,1577.3625108228,0.7300969190497272,0.2699030809502728,1630.51353903332,1597.08055208825,,,,,,,1651.385410232,1594.78588346537,0.7177707650340043,0.2822292349659957,98,110,90,10,50
2021-10-21,2022,0,,ATL,DAL,1570.15009400178,1540.78816231084,0.6780155867751377,0.32198441322486226,1581.65687258422,1529.2813837284,,,,,,,1629.26099674991,1608.33045532211,0.6747220119127106,0.32527798808728936,113,87,89,14,52
2021-10-21,2022,0,,MIA,MIL,1512.58613654931,1667.19778198462,0.4220484553783156,0.5779515446216844,1546.45738187614,1633.32653665779,,,,,,,1546.17346955484,1546.26010688474,0.6399657722562113,0.3600342277437887,137,95,69,24,47
2021-10-21,2022,0,,GSW,LAC,1541.4179313837,1624.11062778074,0.5248866302532708,0.47511336974672924,1545.94659499663,1619.58196416781,,,,,,,1534.9197621756,1564.71433851198,0.5893567420137269,0.4106432579862731,115,113,71,42,57
2021-10-22,2022,0,,WAS,IND,1511.05666333864,1484.10120021772,0.674983959884117,0.32501604011588303,1513.44179105739,1481.71607249897,,,,,,,1510.65498507477,1537.00651470243,0.5940347694150209,0.40596523058497913,135,134,60,57,59
2021-10-22,2022,0,,ORL,NYK,1324.07200419875,1551.13596683177,0.32487903579820004,0.6751209642017999,1312.76434411468,1562.44362691584,,,,,,,1296.96615092671,1530.27648409154,0.3079516349052423,0.6920483650947578,96,121,16,14,15
2021-10-22,2022,0,,CLE,CHO,1349.8329912675,1441.65242430493,0.5117706071099483,0.48822939289005174,1338.48815947239,1452.99725610004,,,,,,,1368.37319640273,1456.51897929122,0.512794049353817,0.487205950646183,112,123,18,13,16
2021-10-22,2022,0,,BOS,TOR,1496.41008608313,1433.07733742026,0.7191438681718267,0.28085613182817326,1458.49147829351,1470.99594520988,,,,,,,1594.8884925132,1490.36537379475,0.7579421537821472,0.24205784621785276,83,115,67,36,52
2021-10-22,2022,0,,PHI,BRK,1623.86825588822,1595.60583995039,0.6766322757710402,0.32336772422895976,1613.25589100895,1606.21820482966,,,,,,,1634.16752768925,1609.00080421582,0.6598717640789723,0.3401282359210277,109,114,90,10,50
2021-10-22,2022,0,,CHI,NOP,1502.75290918781,1467.38321351302,0.6855185803913246,0.31448141960867537,1510.73121968276,1459.40490301807,,,,,,,1512.8416378269,1511.07719268354,0.6440231446263519,0.3559768553736481,128,112,56,46,51
2021-10-22,2022,0,,HOU,OKC,1339.93772856291,1306.80123079951,0.6827406067332683,0.3172593932667317,1353.37992364063,1293.35903572179,,,,,,,1312.25989797428,1296.68556466506,0.6519762447183589,0.3480237552816411,124,91,2,0,1
2021-10-22,2022,0,,DEN,SAS,1597.08055208825,1484.01253532525,0.7732085790210632,0.2267914209789368,1600.07719406222,1481.01589335128,,,,,,,1602.21321544652,1489.31907680211,0.8111144829013139,0.18888551709868606,102,96,68,16,42
2021-10-22,2022,0,,SAC,UTA,1465.06317340391,1617.31816000849,0.425360979083278,0.574639020916722,1457.11467008409,1625.26666332831,,,,,,,1457.45035916614,1640.71099432453,0.37271521171880884,0.6272847882811912,101,110,68,12,40
2021-10-22,2022,0,,LAL,PHO,1536.85182817036,1630.51353903332,0.5091205195257128,0.4908794804742872,1526.23116184687,1641.13420535681,,,,,,,1493.21831834724,1641.95760426651,0.42545494530944444,0.5745450546905555,105,115,75,36,56
2021-10-23,2022,0,,CLE,ATL,1338.48815947239,1581.65687258422,0.3048844239085298,0.6951155760914702,1350.62898858312,1569.51604347349,,,,,,,1357.2248407363,1624.83081197532,0.22768608177417235,0.7723139182258276,101,95,42,4,23
2021-10-23,2022,0,,IND,MIA,1481.71607249897,1546.45738187614,0.5505678587675106,0.4494321412324894,1491.34226966,1536.83118471511,,,,,,,1533.86886822184,1536.27990345772,0.5759940869601204,0.42400591303987956,102,91,65,57,61
2021-10-23,2022,0,,TOR,DAL,1470.99594520988,1529.2813837284,0.5597452711192957,0.44025472888070427,1460.48083606461,1539.79649287367,,,,,,,1504.39269239605,1600.33043450609,0.43456445516435194,0.5654355448356481,95,103,71,48,60
2021-10-23,2022,0,,MIN,NOP,1445.98282962913,1459.40490301807,0.6220791628609135,0.37792083713908653,1451.92965654877,1453.45807609843,,,,,,,1526.7384279862,1511.60335716802,0.7190953151415798,0.28090468485842024,96,89,59,51,55
2021-10-23,2022,0,,CHI,DET,1510.73121968276,1373.5035454059,0.7966670843272664,0.2033329156727336,1515.33301162605,1368.90175346261,,,,,,,1515.13762936072,1367.89309869508,0.7597648419389618,0.24023515806103823,97,82,26,14,20
